instance_id,repo,small_model_resolved,large_model_resolved
django__django-16493,django/django,true,true
django__django-16502,django/django,false,false
django__django-16527,django/django,true,true
django__django-16560,django/django,false,false
django__django-16569,django/django,true,true
django__django-16595,django/django,false,true
django__django-16612,django/django,true,true
django__django-16631,django/django,false,false
django__django-16642,django/django,false,false
django__django-16661,django/django,true,true
django__django-16662,django/django,true,true
django__django-16667,django/django,false,false
django__django-16801,django/django,true,true
django__django-16819,django/django,false,true
django__django-16877,django/django,false,true
django__django-16899,django/django,true,true
django__django-16901,django/django,true,true
django__django-16938,django/django,false,true
django__django-16950,django/django,false,false
django__django-17029,django/django,true,true
django__django-17084,django/django,false,false
django__django-17087,django/django,true,true
django__django-7530,django/django,true,true
django__django-9296,django/django,true,true
matplotlib__matplotlib-13989,matplotlib/matplotlib,true,true
matplotlib__matplotlib-14623,matplotlib/matplotlib,true,true
matplotlib__matplotlib-20488,matplotlib/matplotlib,true,true
matplotlib__matplotlib-20676,matplotlib/matplotlib,true,true
matplotlib__matplotlib-20826,matplotlib/matplotlib,false,true
matplotlib__matplotlib-20859,matplotlib/matplotlib,true,true
matplotlib__matplotlib-21568,matplotlib/matplotlib,false,false
matplotlib__matplotlib-22719,matplotlib/matplotlib,true,true
matplotlib__matplotlib-22865,matplotlib/matplotlib,false,true
matplotlib__matplotlib-22871,matplotlib/matplotlib,true,true
matplotlib__matplotlib-23299,matplotlib/matplotlib,false,false
matplotlib__matplotlib-23314,matplotlib/matplotlib,true,true
matplotlib__matplotlib-23412,matplotlib/matplotlib,true,true
matplotlib__matplotlib-23476,matplotlib/matplotlib,false,false
matplotlib__matplotlib-24026,matplotlib/matplotlib,true,true
matplotlib__matplotlib-24149,matplotlib/matplotlib,true,true
matplotlib__matplotlib-24177,matplotlib/matplotlib,false,false
matplotlib__matplotlib-24570,matplotlib/matplotlib,true,true
matplotlib__matplotlib-24627,matplotlib/matplotlib,true,true
matplotlib__matplotlib-24637,matplotlib/matplotlib,true,true
matplotlib__matplotlib-24870,matplotlib/matplotlib,false,false
matplotlib__matplotlib-24970,matplotlib/matplotlib,true,true
matplotlib__matplotlib-25122,matplotlib/matplotlib,true,true
matplotlib__matplotlib-25287,matplotlib/matplotlib,true,true
matplotlib__matplotlib-25311,matplotlib/matplotlib,true,true
matplotlib__matplotlib-25332,matplotlib/matplotlib,false,true
matplotlib__matplotlib-25479,matplotlib/matplotlib,false,false
matplotlib__matplotlib-25775,matplotlib/matplotlib,false,false
matplotlib__matplotlib-25960,matplotlib/matplotlib,false,false
matplotlib__matplotlib-26113,matplotlib/matplotlib,true,true
matplotlib__matplotlib-26208,matplotlib/matplotlib,false,false
matplotlib__matplotlib-26291,matplotlib/matplotlib,false,true
matplotlib__matplotlib-26342,matplotlib/matplotlib,true,true
matplotlib__matplotlib-26466,matplotlib/matplotlib,false,false
mwaskom__seaborn-3069,mwaskom/seaborn,false,true
mwaskom__seaborn-3187,mwaskom/seaborn,false,false
pallets__flask-5014,pallets/flask,true,true
psf__requests-1142,psf/requests,false,true
psf__requests-1724,psf/requests,true,false
psf__requests-1766,psf/requests,true,true
psf__requests-1921,psf/requests,true,false
psf__requests-2317,psf/requests,false,true
psf__requests-2931,psf/requests,true,false
psf__requests-5414,psf/requests,false,false
psf__requests-6028,psf/requests,false,false
pydata__xarray-2905,pydata/xarray,false,true
pydata__xarray-3095,pydata/xarray,true,true
pydata__xarray-3151,pydata/xarray,true,true
pydata__xarray-3305,pydata/xarray,true,true
pydata__xarray-3677,pydata/xarray,true,true
pydata__xarray-3993,pydata/xarray,false,false
pydata__xarray-4075,pydata/xarray,true,true
pydata__xarray-4094,pydata/xarray,true,true
pydata__xarray-4356,pydata/xarray,true,true
pydata__xarray-4629,pydata/xarray,true,true
pydata__xarray-4687,pydata/xarray,false,false
pydata__xarray-4695,pydata/xarray,true,true
pydata__xarray-4966,pydata/xarray,true,true
pydata__xarray-6461,pydata/xarray,true,true
pydata__xarray-6599,pydata/xarray,false,false
pydata__xarray-6721,pydata/xarray,true,true
pydata__xarray-6744,pydata/xarray,true,true
pydata__xarray-6938,pydata/xarray,false,false
pydata__xarray-6992,pydata/xarray,false,false
pydata__xarray-7229,pydata/xarray,false,false
pydata__xarray-7233,pydata/xarray,true,true
pydata__xarray-7393,pydata/xarray,true,true
pylint-dev__pylint-4551,pylint-dev/pylint,false,false
pylint-dev__pylint-4604,pylint-dev/pylint,false,false
pylint-dev__pylint-4661,pylint-dev/pylint,false,false
pylint-dev__pylint-4970,pylint-dev/pylint,false,true
pylint-dev__pylint-6386,pylint-dev/pylint,false,false
pylint-dev__pylint-6528,pylint-dev/pylint,false,false
pylint-dev__pylint-6903,pylint-dev/pylint,true,true
pylint-dev__pylint-7080,pylint-dev/pylint,false,false
pylint-dev__pylint-7277,pylint-dev/pylint,false,false
pylint-dev__pylint-8898,pylint-dev/pylint,false,false
pytest-dev__pytest-10051,pytest-dev/pytest,false,true
pytest-dev__pytest-10081,pytest-dev/pytest,true,true
pytest-dev__pytest-10356,pytest-dev/pytest,false,false
pytest-dev__pytest-5262,pytest-dev/pytest,true,true
pytest-dev__pytest-5631,pytest-dev/pytest,true,true
pytest-dev__pytest-5787,pytest-dev/pytest,false,false
pytest-dev__pytest-5809,pytest-dev/pytest,true,true
pytest-dev__pytest-5840,pytest-dev/pytest,false,false
pytest-dev__pytest-6197,pytest-dev/pytest,false,false
pytest-dev__pytest-6202,pytest-dev/pytest,true,true
pytest-dev__pytest-7205,pytest-dev/pytest,false,true
pytest-dev__pytest-7236,pytest-dev/pytest,false,true
pytest-dev__pytest-7324,pytest-dev/pytest,false,false
pytest-dev__pytest-7432,pytest-dev/pytest,true,true
pytest-dev__pytest-7490,pytest-dev/pytest,false,false
pytest-dev__pytest-7521,pytest-dev/pytest,true,true
pytest-dev__pytest-7571,pytest-dev/pytest,false,true
pytest-dev__pytest-7982,pytest-dev/pytest,true,true
pytest-dev__pytest-8399,pytest-dev/pytest,true,true
scikit-learn__scikit-learn-10297,scikit-learn/scikit-learn,true,true
scikit-learn__scikit-learn-10844,scikit-learn/scikit-learn,true,true
scikit-learn__scikit-learn-10908,scikit-learn/scikit-learn,true,true
scikit-learn__scikit-learn-11310,scikit-learn/scikit-learn,true,true
scikit-learn__scikit-learn-11578,scikit-learn/scikit-learn,true,true
scikit-learn__scikit-learn-12585,scikit-learn/scikit-learn,true,true
scikit-learn__scikit-learn-12682,scikit-learn/scikit-learn,false,true
scikit-learn__scikit-learn-12973,scikit-learn/scikit-learn,true,true
scikit-learn__scikit-learn-13124,scikit-learn/scikit-learn,false,false
scikit-learn__scikit-learn-13135,scikit-learn/scikit-learn,false,true
scikit-learn__scikit-learn-13142,scikit-learn/scikit-learn,false,true
scikit-learn__scikit-learn-13328,scikit-learn/scikit-learn,true,true
scikit-learn__scikit-learn-13439,scikit-learn/scikit-learn,true,true
scikit-learn__scikit-learn-13496,scikit-learn/scikit-learn,true,true
scikit-learn__scikit-learn-13779,scikit-learn/scikit-learn,true,true
scikit-learn__scikit-learn-14053,scikit-learn/scikit-learn,true,true
scikit-learn__scikit-learn-14087,scikit-learn/scikit-learn,true,false
scikit-learn__scikit-learn-14141,scikit-learn/scikit-learn,true,true
scikit-learn__scikit-learn-14496,scikit-learn/scikit-learn,true,true
scikit-learn__scikit-learn-14629,scikit-learn/scikit-learn,false,false
scikit-learn__scikit-learn-14710,scikit-learn/scikit-learn,true,true
scikit-learn__scikit-learn-14894,scikit-learn/scikit-learn,true,true
scikit-learn__scikit-learn-14983,scikit-learn/scikit-learn,false,true
scikit-learn__scikit-learn-15100,scikit-learn/scikit-learn,false,true
scikit-learn__scikit-learn-25102,scikit-learn/scikit-learn,false,true
scikit-learn__scikit-learn-25232,scikit-learn/scikit-learn,true,true
scikit-learn__scikit-learn-25747,scikit-learn/scikit-learn,false,false
scikit-learn__scikit-learn-25931,scikit-learn/scikit-learn,true,true
scikit-learn__scikit-learn-25973,scikit-learn/scikit-learn,true,true
scikit-learn__scikit-learn-26194,scikit-learn/scikit-learn,false,false
scikit-learn__scikit-learn-26323,scikit-learn/scikit-learn,true,true
scikit-learn__scikit-learn-9288,scikit-learn/scikit-learn,true,true
sphinx-doc__sphinx-10323,sphinx-doc/sphinx,true,true
sphinx-doc__sphinx-10435,sphinx-doc/sphinx,false,false
sphinx-doc__sphinx-10449,sphinx-doc/sphinx,false,true
sphinx-doc__sphinx-10466,sphinx-doc/sphinx,false,true
sphinx-doc__sphinx-10614,sphinx-doc/sphinx,false,false
sphinx-doc__sphinx-10673,sphinx-doc/sphinx,true,true
sphinx-doc__sphinx-11445,sphinx-doc/sphinx,false,true
sphinx-doc__sphinx-11510,sphinx-doc/sphinx,false,false
sphinx-doc__sphinx-7440,sphinx-doc/sphinx,false,true
sphinx-doc__sphinx-7454,sphinx-doc/sphinx,false,false
sphinx-doc__sphinx-7462,sphinx-doc/sphinx,false,false
sphinx-doc__sphinx-7590,sphinx-doc/sphinx,false,false
sphinx-doc__sphinx-7748,sphinx-doc/sphinx,false,false
sphinx-doc__sphinx-7757,sphinx-doc/sphinx,false,true
sphinx-doc__sphinx-7889,sphinx-doc/sphinx,false,true
sphinx-doc__sphinx-7910,sphinx-doc/sphinx,true,true
sphinx-doc__sphinx-7985,sphinx-doc/sphinx,false,false
sphinx-doc__sphinx-8035,sphinx-doc/sphinx,true,true
sphinx-doc__sphinx-8056,sphinx-doc/sphinx,true,false
sphinx-doc__sphinx-8120,sphinx-doc/sphinx,true,true
sphinx-doc__sphinx-8265,sphinx-doc/sphinx,false,false
sphinx-doc__sphinx-8269,sphinx-doc/sphinx,true,true
sphinx-doc__sphinx-8459,sphinx-doc/sphinx,true,true
sphinx-doc__sphinx-8475,sphinx-doc/sphinx,true,true
sphinx-doc__sphinx-8548,sphinx-doc/sphinx,false,false
sphinx-doc__sphinx-8551,sphinx-doc/sphinx,false,false
sphinx-doc__sphinx-8593,sphinx-doc/sphinx,false,true
sphinx-doc__sphinx-8595,sphinx-doc/sphinx,true,true
sphinx-doc__sphinx-8621,sphinx-doc/sphinx,false,true
sphinx-doc__sphinx-8638,sphinx-doc/sphinx,false,false
sphinx-doc__sphinx-8721,sphinx-doc/sphinx,true,true
sphinx-doc__sphinx-9229,sphinx-doc/sphinx,false,false
sphinx-doc__sphinx-9230,sphinx-doc/sphinx,true,true
sphinx-doc__sphinx-9258,sphinx-doc/sphinx,false,false
sphinx-doc__sphinx-9281,sphinx-doc/sphinx,false,true
sphinx-doc__sphinx-9320,sphinx-doc/sphinx,true,true
sphinx-doc__sphinx-9367,sphinx-doc/sphinx,false,true
sphinx-doc__sphinx-9461,sphinx-doc/sphinx,false,false
sphinx-doc__sphinx-9591,sphinx-doc/sphinx,false,true
sphinx-doc__sphinx-9602,sphinx-doc/sphinx,false,false
sphinx-doc__sphinx-9658,sphinx-doc/sphinx,false,true
sphinx-doc__sphinx-9673,sphinx-doc/sphinx,true,true
sphinx-doc__sphinx-9698,sphinx-doc/sphinx,true,true
sphinx-doc__sphinx-9711,sphinx-doc/sphinx,true,true
sympy__sympy-11618,sympy/sympy,true,true
sympy__sympy-12096,sympy/sympy,true,true
sympy__sympy-12419,sympy/sympy,false,false
sympy__sympy-12481,sympy/sympy,true,true
sympy__sympy-12489,sympy/sympy,false,true
sympy__sympy-13031,sympy/sympy,false,true
sympy__sympy-13091,sympy/sympy,false,false
sympy__sympy-13372,sympy/sympy,true,true
sympy__sympy-13480,sympy/sympy,true,true
sympy__sympy-13551,sympy/sympy,true,true
sympy__sympy-13615,sympy/sympy,false,false
sympy__sympy-13647,sympy/sympy,true,true
sympy__sympy-13757,sympy/sympy,true,true
sympy__sympy-13798,sympy/sympy,false,false
sympy__sympy-13852,sympy/sympy,false,false
sympy__sympy-13877,sympy/sympy,false,false
sympy__sympy-13878,sympy/sympy,false,true
sympy__sympy-13974,sympy/sympy,true,false
sympy__sympy-14248,sympy/sympy,false,false
sympy__sympy-14531,sympy/sympy,true,true
sympy__sympy-14711,sympy/sympy,true,true
sympy__sympy-14976,sympy/sympy,true,true
sympy__sympy-15017,sympy/sympy,false,true
sympy__sympy-15345,sympy/sympy,true,true
sympy__sympy-15349,sympy/sympy,true,true
sympy__sympy-15599,sympy/sympy,false,false
sympy__sympy-15809,sympy/sympy,false,false
sympy__sympy-15875,sympy/sympy,true,false
sympy__sympy-15976,sympy/sympy,false,false
sympy__sympy-16450,sympy/sympy,true,true
sympy__sympy-16597,sympy/sympy,false,false
sympy__sympy-16766,sympy/sympy,true,true
sympy__sympy-16792,sympy/sympy,true,true
sympy__sympy-16886,sympy/sympy,true,true
sympy__sympy-17139,sympy/sympy,false,true
sympy__sympy-17318,sympy/sympy,false,false
sympy__sympy-17630,sympy/sympy,false,false
sympy__sympy-17655,sympy/sympy,true,true
sympy__sympy-18189,sympy/sympy,true,true
sympy__sympy-18199,sympy/sympy,false,false
sympy__sympy-18211,sympy/sympy,false,true
sympy__sympy-18698,sympy/sympy,false,true
sympy__sympy-18763,sympy/sympy,true,false
sympy__sympy-19040,sympy/sympy,true,false
sympy__sympy-19346,sympy/sympy,true,true
sympy__sympy-19495,sympy/sympy,true,true
sympy__sympy-19637,sympy/sympy,true,true
sympy__sympy-19783,sympy/sympy,true,true
sympy__sympy-19954,sympy/sympy,true,true
sympy__sympy-20154,sympy/sympy,true,true
sympy__sympy-20428,sympy/sympy,false,false
sympy__sympy-20438,sympy/sympy,false,false
sympy__sympy-20590,sympy/sympy,true,true
sympy__sympy-20801,sympy/sympy,true,true
sympy__sympy-20916,sympy/sympy,false,true
sympy__sympy-21379,sympy/sympy,true,true
sympy__sympy-21596,sympy/sympy,false,false
sympy__sympy-21612,sympy/sympy,false,false
sympy__sympy-21847,sympy/sympy,true,true
sympy__sympy-21930,sympy/sympy,false,false
sympy__sympy-22080,sympy/sympy,false,false
sympy__sympy-22456,sympy/sympy,true,true
sympy__sympy-22714,sympy/sympy,true,true
sympy__sympy-22914,sympy/sympy,true,true
sympy__sympy-23262,sympy/sympy,true,true
sympy__sympy-23413,sympy/sympy,false,false
sympy__sympy-23534,sympy/sympy,true,true
sympy__sympy-23824,sympy/sympy,true,true
sympy__sympy-23950,sympy/sympy,true,false
sympy__sympy-24066,sympy/sympy,true,true
sympy__sympy-24213,sympy/sympy,true,true
sympy__sympy-24443,sympy/sympy,false,true
sympy__sympy-24539,sympy/sympy,true,true
sympy__sympy-24562,sympy/sympy,true,true
sympy__sympy-24661,sympy/sympy,true,true
